County,Median_Income_x,Age-Adjusted Incidence Rate,Average Annual Count,Age-Adjusted Death Rate,Average Deaths per Year
"Hampshire County, West Virginia",22237.0,83.8,27,63.5,20
"Hampton County, South Carolina",29069.0,78.1,20,54.2,14
"Hancock County, Illinois",35798.0,74.4,21,54.9,16
"Hancock County, Maine",43667.5,68.8,56,47.1,39
"Hancock County, Ohio",68934.0,57.9,52,48.4,44
"Hardee County, Florida",32041.0,69,20,49.1,14
"Hardeman County, Tennessee",20011.0,94.2,31,64.3,21
"Hardin County, Illinois",24773.0,90.3,6,57.4,4
"Hardin County, Iowa",51197.0,58.5,16,46.9,13
"Hardin County, Kentucky",34917.0,101.5,104,69.3,71
"Hardin County, Ohio",34614.0,72.9,26,57.9,21
"Hardin County, Texas",76503.5,66.4,42,53.8,34
"Harford County, Maryland",78763.25,68.6,184,49.9,131
"Harlan County, Kentucky",21210.0,127.6,48,95.3,34
"Harnett County, North Carolina",33508.0,86.3,93,60.2,63
"Harris County, Georgia",31453.0,62,24,45.8,17
"Harris County, Texas",60382.75,56,1768,40.3,1243
"Harrison County, Indiana",30547.0,90.7,43,62.9,29
"Harrison County, Iowa",17702.0,86.4,18,48.3,10
"Harrison County, Mississippi",44871.5,89.5,179,67.5,132
"Harrison County, West Virginia",38937.5,87.3,82,61.5,58
"Hart County, Georgia",33343.0,69,25,51.1,19
"Hart County, Kentucky",52246.0,114.5,27,90.2,21
"Haskell County, Oklahoma",24240.666666666668,75.8,13,69.9,12
"Haskell County, Texas",38934.0,40.6,4,60.1,5
"Hawaii County, Hawaii",71176.08737864078,44.9,107,33.3,79
"Henderson County, Illinois",30729.0,78.2,9,62.3,7
"Henderson County, Kentucky",34120.0,97.8,54,67.5,38
"Henderson County, North Carolina",31430.0,59.9,109,43.5,80
"Henderson County, Texas",59625.0,89.9,104,60.2,70
"Hendricks County, Indiana",87406.0,69.9,98,50.5,69
"Henrico County, Virginia",67426.0,57.2,190,46.2,154
"Henry County, Georgia",44642.0,60.3,102,46.7,74
"Henry County, Indiana",34951.5,76.6,49,65.1,42
"Henry County, Iowa",33896.0,70.4,18,51.5,13
"Henry County, Missouri",29208.0,100.3,33,83.6,28
"Henry County, Ohio",44711.0,55.3,20,48.2,18
"Hernando County, Florida",37161.75,74.9,241,55.8,183
"Hidalgo County, Texas",30140.14285714286,32.7,200,22.5,137
"Highland County, Ohio",36017.0,75.8,41,66.7,36
"Hill County, Texas",38000.0,69.9,35,63.1,31
"Hillsborough County, Florida",66644.0,69.7,895,48.3,616
"Hocking County, Ohio",31009.0,75.9,28,66.3,25
"Holmes County, Mississippi",17417.0,95,19,62.2,13
"Honolulu County, Hawaii",87972.0,48.3,550,32.9,377
"Hopkins County, Kentucky",27021.0,89.9,55,66.6,41
"Hopkins County, Texas",33635.0,66,29,49,22
"Horry County, South Carolina",33970.0,74.7,286,58.5,219
"Hot Spring County, Arkansas",26931.0,94.2,41,75.3,32
"Houston County, Texas",25559.0,63.1,22,47.4,16
"Hughes County, Oklahoma",31893.0,88.5,17,77.6,15
"Hughes County, South Dakota",54848.0,52.1,10,30.7,6
"Humboldt County, California",33986.75,56.4,86,42.7,65
"Humboldt County, Iowa",41648.0,54.5,9,31,5
"Hunt County, Texas",28375.0,80.2,82,63.1,63
"Huntingdon County, Pennsylvania",32169.333333333332,58.4,36,45.7,29
"Huron County, Ohio",49570.5,78.2,54,63.3,43
"Hutchinson County, South Dakota",47192.0,41.9,5,31.8,4
"Iberville Parish, Louisiana",43118.0,92.2,34,67,24
"Ida County, Iowa",47456.0,55.6,6,41.7,5
"Indian River County, Florida",133628.0,67,180,51.2,143
"Indiana County, Pennsylvania",51367.5,52.9,59,36.8,42
"Inyo County, California",11792.0,45.7,13,36.5,11
"Iowa County, Iowa",43296.0,47.5,11,40.6,9
"Iowa County, Wisconsin",26351.0,56,17,37.2,11
"Iron County, Utah",40639.0,29.5,11,19.7,7
"Iroquois County, Illinois",42414.4,72,31,52,23
"Island County, Washington",44366.5,48.2,56,32.4,38
"Jackson County, Alabama",31635.0,80.9,58,64,46
"Jackson County, Arkansas",43190.5,104.4,24,83.5,19
"Jackson County, Florida",34725.0,48.4,31,52.8,34
"Jackson County, Georgia",63877.0,78.4,50,62.1,37
"Jackson County, Indiana",27022.0,81.4,42,70.7,37
"Jackson County, Iowa",37277.0,66.1,18,53.8,15
"Jackson County, Mississippi",44299.5,75.8,116,61.3,92
"Jackson County, Missouri",56624.5,75.3,542,55.3,398
"Jackson County, Oklahoma",39080.0,58.6,17,58.6,17
"Jackson County, Oregon",45460.0,62.6,184,45.6,134
"Jackson County, Wisconsin",50237.0,69,19,50.7,14
"Jasper County, Iowa",49305.75,72.4,36,53.8,27
"Jasper County, Missouri",41970.5,85.8,109,60.7,78
"Jay County, Indiana",35704.0,68.9,18,57.7,15
"Jefferson County, Alabama",34483.5,65.1,482,51.5,381
"Jefferson County, Colorado",72051.0,43.7,262,30.5,179
"Jefferson County, Iowa",51050.0,49.5,11,34.6,7
"Jefferson County, Kentucky",87293.45454545454,89.6,759,60.5,512
"Jefferson County, New York",51927.0,79.6,88,50.4,56
"Jefferson County, Ohio",52296.0,78.6,78,58.7,59
"Jefferson County, Tennessee",47912.0,68.9,49,51.1,36
"Jefferson County, Texas",32888.0,65.7,178,49.8,134
"Jefferson County, Washington",41472.0,55.7,34,43.5,27
"Jefferson County, West Virginia",43909.0,71,41,51.6,30
"Jefferson County, Wisconsin",52649.0,56.2,52,38.7,36
"Jefferson Parish, Louisiana",30489.0,67.4,340,52.3,262
"Jenkins County, Georgia",23861.0,68.6,7,60,6
"Jessamine County, Kentucky",38089.0,89,44,59.7,29
"Johnson County, Illinois",29082.0,83.6,15,60.5,10
"Johnson County, Indiana",55631.0,67.9,101,50.1,73
"Johnson County, Iowa",74285.33333333333,50.5,53,36.7,37
"Johnson County, Missouri",40354.0,66.1,33,54.1,26
"Johnson County, Nebraska",19940.0,97.5,7,46.6,3
"Johnson County, Texas",50201.0,71.5,109,56.1,86
"Johnson County, Wyoming",49288.0,38.2,5,29.9,4
"Jones County, Texas",36413.0,60.1,14,48.5,11
"Juneau County, Wisconsin",36088.0,67.5,26,54.7,21
"Kanawha County, West Virginia",40294.71428571428,87.3,231,64.5,170
"Kane County, Illinois",77900.0,58.9,266,43.7,193
"Karnes County, Texas",32735.0,72,12,41.1,7
"Kauai County, Hawaii",59351.5,45.2,39,34.6,30
"Kearney County, Nebraska",46366.0,60.8,6,47.6,4
"Kenai Peninsula Borough, Alaska",59124.0,64.9,39,50.1,28
"Kendall County, Illinois",76758.5,54.6,45,39.3,32
"Kendall County, Texas",58288.0,44,21,29.5,14
"Kennebec County, Maine",46976.0,75.6,121,57.3,91
"Kenosha County, Wisconsin",59537.0,73.1,120,52.7,87
"Kent County, Delaware",57033.319444444445,79.2,147,57,105
"Kent County, Rhode Island",56355.77906976744,68.9,150,52.6,116
"Kenton County, Kentucky",44465.0,90.3,145,65,102
"Keokuk County, Iowa",36086.5,68.1,10,55.1,9
"Kern County, California",42290.0,55.7,371,41.4,270
"King County, Washington",81556.2,51.8,972,36.4,681
"Kit Carson County, Colorado",32387.5,55.1,6,36,4
"Kitsap County, Washington",59525.333333333336,60.5,173,43,123
"Kittitas County, Washington",29794.0,47.4,20,44.4,18
"Knott County, Kentucky",21072.0,116.1,23,85.9,17
"Knox County, Illinois",49452.0,69.1,53,52.5,40
"Knox County, Indiana",34671.0,76,37,53.6,26
"Knox County, Kentucky",32123.0,125,50,85.9,33
"Knox County, Ohio",39035.666666666664,69.8,51,48,35
"Kodiak Island Borough, Alaska",60544.0,74.7,7,76.2,6
"Kosciusko County, Indiana",45592.5,71.6,64,54,47
"LaPorte County, Indiana",80397.0,77.2,103,55.9,74
"Lackawanna County, Pennsylvania",62490.0,70.4,208,47.5,144
"Lafayette County, Missouri",39350.0,73.9,32,50.1,21
"Lafayette County, Wisconsin",38615.0,47.5,11,35.5,8
"Lake County, Florida",35935.0,76,400,52.9,279
"Lake County, Illinois",83744.0,58.2,379,40.1,257
"Lake County, Indiana",75237.5,74,412,53.8,298
"Lake County, Montana",58239.0,52.6,21,37.4,15
"Lake County, Ohio",44379.0,73,222,55.4,169
"Lake County, Oregon",35179.0,47,6,33.3,4
"Lamar County, Alabama",34725.0,80.4,17,72.2,15
"Lamb County, Texas",38017.0,41,7,31.1,5
"Lamoille County, Vermont",35120.0,66.1,19,43.9,13
"Lampasas County, Texas",39685.0,74.1,19,66.5,17
"Lancaster County, Pennsylvania",64448.75,53.3,340,38.5,249
"Lancaster County, South Carolina",30383.0,67.5,68,52.1,51
"Latah County, Idaho",40591.0,50.6,17,37.2,12
"Lauderdale County, Mississippi",69195.0,70.4,65,53,49
"Laurens County, Georgia",31183.0,69.5,41,54.6,32
"Lawrence County, Alabama",28180.0,88.1,37,70,29
"Lawrence County, Illinois",32240.0,88.2,19,66.4,14
"Lawrence County, Mississippi",20679.0,106,17,76,12
"Lawrence County, Missouri",26383.5,66.5,34,53.7,27
"Lawrence County, Ohio",39225.5,83.4,66,67.8,53
"Lawrence County, Pennsylvania",43453.0,71.3,95,52.1,71
"Lawrence County, Tennessee",29150.0,78.2,43,68.3,37
"Le Flore County, Oklahoma",26535.0,62.2,38,75.4,47
"Lea County, New Mexico",51067.0,57.7,34,40.8,24
"Lebanon County, Pennsylvania",55061.666666666664,65.3,120,49.8,92
"Lee County, Alabama",50828.5,59.4,71,57.1,66
"Lee County, Arkansas",23139.333333333332,57,8,61.9,8
"Lee County, Florida",39805.2,59.2,651,39.9,441
"Lee County, North Carolina",52298.0,76.6,51,54.7,36
"Lee County, Virginia",20464.5,82.4,27,85.9,28
"Lehigh County, Pennsylvania",55782.0,63.6,271,41,178
"Lemhi County, Idaho",24559.0,46.5,7,40.6,6
"Lenoir County, North Carolina",28049.0,73,57,53.2,42
"Letcher County, Kentucky",32254.0,118.5,37,96.1,29
"Levy County, Florida",32177.0,103.5,67,77.3,49
"Lewis County, Kentucky",8462.0,112.6,19,84.1,14
"Lewis County, Missouri",46812.0,79.9,11,68.9,9
"Lewis County, New York",30454.0,62.7,22,51.8,18
"Lewis County, Tennessee",35966.0,116.1,19,81.6,13
"Lewis County, Washington",45146.5,61.9,65,52.8,56
"Lewis and Clark County, Montana",51437.0,65.2,49,45.4,34
"Liberty County, Texas",33331.0,84.3,64,69.4,52
"Limestone County, Texas",37876.0,81.8,24,57.9,17
"Lincoln County, Maine",22287.5,50.8,30,43.8,26
"Lincoln County, Montana",22954.0,71.4,24,56.8,18
"Lincoln County, Oklahoma",38234.333333333336,66.3,30,66.4,29
"Lincoln County, Oregon",35673.0,74.4,60,58.9,47
"Lincoln County, West Virginia",35798.0,111.5,32,77.3,22
"Lincoln County, Wyoming",57848.0,32.1,7,26.8,5
"Lincoln Parish, Louisiana",34648.666666666664,60.7,27,45.9,20
"Linn County, Iowa",81314.5,65.7,152,47.6,110
"Linn County, Missouri",46365.0,91.5,17,65.6,12
"Linn County, Oregon",46321.5,71.3,106,53.4,79
"Litchfield County, Connecticut",65436.0,62.5,160,38.7,99
"Livingston County, Illinois",50292.0,81.6,40,49.7,25
"Livingston County, Kentucky",60926.0,113.1,16,81.6,12
"Livingston County, New York",60330.0,67.2,52,45.8,36
"Livingston Parish, Louisiana",56271.0,81.6,98,66.4,77
"Llano County, Texas",36632.0,53.4,24,42.3,19
"Logan County, Illinois",54340.333333333336,90.7,34,52.9,20
"Logan County, Kentucky",32184.0,103.5,36,77.8,26
"Logan County, Ohio",36302.0,70.7,40,60,34
"Logan County, Oklahoma",59537.0,67.4,32,50.3,24
"Logan County, West Virginia",23474.0,115.7,56,95.1,45
"Long County, Georgia",37868.0,88.9,10,60.6,7
"Lonoke County, Arkansas",39255.0,91.9,62,72.3,49
"Lorain County, Ohio",67416.0,71,259,55.1,200
"Los Alamos County, New Mexico",100732.0,26.5,7,15.8,4
"Los Angeles County, California",69254.4375,39.9,3701,31.1,2876
"Loudoun County, Virginia",117292.5,40.8,85,34.2,67
"Louisa County, Iowa",47936.0,64.1,9,44.9,6
"Lowndes County, Georgia",31941.0,65.3,62,52.8,49
"Lowndes County, Mississippi",53497.0,70.2,45,56.4,37
"Lubbock County, Texas",41571.0,53.2,139,39.3,102
"Lucas County, Ohio",62541.0,61.9,306,55.4,275
"Luzerne County, Pennsylvania",49170.88888888889,68.7,308,46.1,210
"Lycoming County, Pennsylvania",42082.0,67.1,101,51,78
"Lynn County, Texas",28387.0,47.9,4,45.7,3
"Lyon County, Iowa",53195.0,45.2,7,24.4,3
"Macomb County, Michigan",48015.333333333336,75.2,756,52.2,527
"Macon County, Georgia",14842.0,69,11,55.9,9
"Macon County, Illinois",53863.0,96.6,140,62.8,92
"Macon County, North Carolina",43438.5,75.4,46,57.9,35
"Macon County, Tennessee",29340.0,100.4,27,77.5,21
"Macoupin County, Illinois",50128.0,79.5,52,59.9,39
"Madera County, California",36022.5,51.8,76,37,53
"Madison County, Arkansas",33565.0,67.8,14,58.5,12
"Madison County, Illinois",50112.25,83.5,265,58.5,186
"Madison County, Montana",30579.0,44.9,6,31.3,4
"Madison County, Nebraska",55360.5,61.4,25,40.5,17
"Madison County, New York",44733.5,79.9,69,56.2,49
"Madison County, North Carolina",24847.0,56.5,18,47,14
"Madison County, Ohio",73201.0,74.8,36,52.8,25
"Madison County, Texas",53737.0,53.7,8,49.9,8
"Mahaska County, Iowa",50173.0,79.1,22,66.6,19
"Major County, Oklahoma",58799.0,59.3,6,42.7,5
"Malheur County, Oregon",38718.0,54,20,41.5,15
"Manatee County, Florida",28402.0,59,328,41.7,236
"Manitowoc County, Wisconsin",56412.0,52.2,59,38.4,44
"Marathon County, Wisconsin",58024.0,48.8,78,37.7,61
"Maricopa County, Arizona",64314.5,52.2,2059,37.2,1463
"Marin County, California",118826.5,41.6,145,29.7,106
"Marinette County, Wisconsin",20895.0,72.3,47,50.2,33
"Marion County, Alabama",32411.5,74.2,33,51.7,23
"Marion County, Arkansas",35834.0,82.7,26,72.5,22
"Marion County, Illinois",38108.0,91.5,49,67.6,36
"Marion County, Indiana",57622.0,79.7,682,64.3,545
"Marion County, Iowa",37296.0,57.4,24,43.6,18
"Marion County, Kentucky",30864.0,100.8,22,69.1,15
"Marion County, Missouri",30300.0,87.9,33,58.6,22
"Marion County, Ohio",33365.0,82.9,67,62.2,51
"Marion County, Oregon",47273.0,66.1,227,45.9,157
"Marion County, South Carolina",25157.5,79.3,33,62.1,25
"Marion County, Tennessee",53032.0,102.9,40,69.9,27
"Marquette County, Wisconsin",38690.5,76.3,19,59.2,15
"Marshall County, Iowa",47999.0,65.8,35,49.3,27
"Marshall County, Oklahoma",36452.0,71.7,18,61.9,15
"Mason County, Illinois",51518.0,92.3,20,63.9,14
"Massac County, Illinois",32224.0,100.9,22,67.9,15
"Matagorda County, Texas",21174.0,67.8,31,48.2,21
"Matanuska-Susitna Borough, Alaska",84804.0,69.7,51,53.9,37
"Mathews County, Virginia",54108.0,64.6,10,47.6,9
"Maui County, Hawaii",63040.0,43.2,80,28.6,51
"Maverick County, Texas",33654.0,36.7,17,23.1,10
"Mayes County, Oklahoma",37838.25,84.2,44,63.9,33
"McClain County, Oklahoma",53546.0,83,32,60.1,23
"McCook County, South Dakota",51345.0,86,7,57.6,5
"McCurtain County, Oklahoma",26490.0,94.2,39,65.6,27
"McDonald County, Missouri",35626.0,77.8,19,80.6,19
"McDowell County, North Carolina",27898.0,88.6,54,58.1,35
"McDowell County, West Virginia",20245.0,103.9,32,86.6,26
"McHenry County, Illinois",82009.0,65.3,185,51.9,143
"McHenry County, North Dakota",42994.666666666664,63.6,6,41.7,4
"McIntosh County, Oklahoma",21435.0,76.9,26,70.1,24
"McKinley County, New Mexico",46760.0,13.5,9,11.6,7
"McLean County, Illinois",60305.5,64.1,97,44.7,68
"Meade County, Kentucky",57160.5,118.1,33,87,24
"Meade County, South Dakota",43773.0,56.4,15,44.9,12
"Meigs County, Ohio",21736.0,71.8,22,51.7,16
"Menard County, Illinois",42906.0,75.9,13,62.1,10
"Mendocino County, California",83217.0,52.2,62,42.1,51
"Merced County, California",40832.0,56.9,120,41.1,85
"Mercer County, Illinois",41708.666666666664,76.7,19,48.2,12
"Mercer County, Missouri",33494.0,114.1,7,74.2,4
"Mercer County, North Dakota",57050.0,50.6,6,36.8,4
"Mercer County, Pennsylvania",40092.666666666664,66.9,110,50.6,86
"Mercer County, West Virginia",37552.0,84,75,65.2,59
"Merrimack County, New Hampshire",60744.5,66.9,118,46.6,84
"Miami County, Indiana",33239.0,77.1,34,68,29
"Miami County, Ohio",48226.0,73.7,95,54.9,72
"Miami-Dade County, Florida",81822.5,44.4,1310,29.9,885
"Middlesex County, Massachusetts",90640.33333333333,61.8,1031,42.5,713
"Middlesex County, New Jersey",81616.71428571429,53.4,459,37,319
"Mifflin County, Pennsylvania",37092.333333333336,70.4,48,52,36
"Milam County, Texas",18716.0,65.2,23,47.1,17
"Miller County, Missouri",21539.0,88.8,28,68.4,22
"Milwaukee County, Wisconsin",51433.0,71.1,658,52,484
"Mineral County, Montana",53179.0,66.4,5,56.9,4
"Mineral County, West Virginia",19861.0,82.3,32,65.2,26
"Minnehaha County, South Dakota",68030.0,65.3,110,52.1,87
"Mississippi County, Arkansas",37849.333333333336,73.6,36,70.2,34
"Mississippi County, Missouri",31335.0,100,18,97.2,17
"Missoula County, Montana",53695.25,56.9,61,42,45
"Mitchell County, Iowa",33246.75,48.2,9,24.8,5
"Mobile County, Alabama",46262.0,75.4,347,63.3,289
"Modoc County, California",21074.5,43.7,6,34.8,5
"Mohave County, Arizona",41769.0,76.6,280,59.1,216
"Moniteau County, Missouri",33684.0,54.6,10,46.6,8
"Monmouth County, New Jersey",79969.66666666667,63.9,475,42.8,317
"Monona County, Iowa",40534.0,58.3,9,46.6,8
"Monroe County, Illinois",52616.0,60.9,24,43.6,17
"Monroe County, Indiana",22414.0,66.9,81,49.7,61
"Monroe County, Mississippi",48360.0,81.6,38,57.1,26
"Monroe County, New York",41490.0,65.2,569,46.4,405
"Monroe County, Ohio",44970.5,60.3,13,54.6,12
"Monroe County, Tennessee",37846.0,98.6,60,73.4,45
"Monterey County, California",59995.0,42.6,163,31.7,121
"Montezuma County, Colorado",34138.0,40.2,15,31,12
"Montgomery County, Arkansas",26738.0,67.5,11,50.4,8
"Montgomery County, Illinois",33175.0,86.5,34,68.5,28
"Montgomery County, Indiana",49894.0,70,33,54.5,26
"Montgomery County, Maryland",131121.75,35.4,371,25,263
"Montgomery County, Mississippi",27429.0,65.6,10,57,8
"Montgomery County, New York",42740.0,81.1,53,50.7,34
"Montgomery County, North Carolina",38053.0,71.3,26,49.4,18
"Montgomery County, Ohio",36504.5,76.4,507,56.3,376
"Montgomery County, Pennsylvania",78794.6,56.8,569,40.4,408
"Montgomery County, Texas",90121.0,61.3,271,47,201
"Moore County, Texas",42025.0,65.5,12,46.1,8
"Morgan County, Alabama",39591.0,80.4,116,60.5,88
"Morgan County, Colorado",40100.0,49.5,16,41.2,13
"Morgan County, Georgia",39526.0,65.5,16,49.2,11
"Morgan County, Indiana",47794.0,83.9,65,66.4,52
"Morgan County, Missouri",29816.0,85,29,65.6,23
"Morgan County, Tennessee",36881.0,94.3,26,71.7,19
"Morris County, New Jersey",92516.5,49.6,287,34.8,201
"Morrow County, Oregon",39497.0,62.3,8,53.5,7
"Morton County, North Dakota",55890.0,68.7,24,45.2,16
"Moultrie County, Illinois",44172.0,56.9,11,46.1,9
"Muhlenberg County, Kentucky",23266.0,102.6,42,77.3,32
"Multnomah County, Oregon",60392.0,62.2,432,47.5,327
"Muscatine County, Iowa",79528.0,62.8,31,48.4,23
"Muskingum County, Ohio",43781.0,80.6,87,69.6,75
"Muskogee County, Oklahoma",36450.5,97.9,84,74,63
"Musselshell County, Montana",18627.0,82,6,66.6,5
"Nacogdoches County, Texas",18980.0,74.5,47,59.7,37
"Nantucket County, Massachusetts",82252.0,52.8,6,42.7,5
"Nash County, North Carolina",74344.0,72.8,85,58,68
"Nassau County, Florida",39763.5,81.2,83,57.3,57
"Nassau County, New York",102167.06666666667,58.4,992,34.8,605
"Navajo County, Arizona",27738.666666666668,39.6,46,31,35
"Navarro County, Texas",39223.0,62.3,35,59.9,35
"Nelson County, Kentucky",30268.0,90.4,42,64.2,30
"Nemaha County, Nebraska",38076.666666666664,62.5,6,37.4,4
"New Castle County, Delaware",79592.0,67.3,387,50.3,289
"New Haven County, Connecticut",56900.0,70.2,718,44.9,467
"New London County, Connecticut",77668.5,68.7,224,43.3,142
"New Madrid County, Missouri",30429.25,112.7,28,84.5,21
"Newton County, Arkansas",22379.0,63.9,9,64.9,9
"Newton County, Georgia",33963.0,78.9,69,59.5,51
"Newton County, Missouri",74656.0,57.8,42,55.5,40
"Nez Perce County, Idaho",40102.0,69.3,38,54,30
"Niagara County, New York",56683.0,80.1,227,56.3,159
"Nicholas County, West Virginia",33056.0,67.5,25,66.3,25
"Noble County, Indiana",38124.0,69,35,54.7,28
"Nodaway County, Missouri",34928.0,73.5,18,48.7,12
"Nolan County, Texas",31429.0,58.9,12,58.9,11
"Nome Census Area, Alaska",64415.0,103.6,6,96.1,6
"Norfolk County, Massachusetts",80588.5,63,511,42.8,354
"North Slope Borough, Alaska",61967.0,153.4,6,124.9,5
"Northampton County, North Carolina",30846.5,72.4,24,56.8,19
"Northampton County, Pennsylvania",49880.0,64.7,249,45.5,177
"Northampton County, Virginia",24988.0,83.6,17,73.6,15
"Northumberland County, Pennsylvania",37884.0,66.3,91,52.4,73
"Nowata County, Oklahoma",42861.0,59.7,9,54.9,8
"Nueces County, Texas",38931.0,51.7,184,38.1,134
"O'Brien County, Iowa",51434.0,53.2,12,39.3,9
"Oakland County, Michigan",70655.0,62.8,866,41,567
"Obion County, Tennessee",34965.0,72.6,31,71.5,30
"Ocean County, New Jersey",51759.5,71.4,645,47.7,442
"Oconee County, Georgia",72681.0,46.8,15,34.3,11
"Oconto County, Wisconsin",31207.0,76.5,39,47.2,24
"Ogle County, Illinois",48939.0,66.7,45,45.8,31
"Ohio County, Kentucky",24612.0,124.8,38,94.6,28
"Ohio County, West Virginia",44470.5,73.5,47,52.8,35
"Okaloosa County, Florida",60972.0,71.8,153,57.1,121
"Okanogan County, Washington",25738.333333333332,62.8,36,47.1,26
"Okfuskee County, Oklahoma",20632.0,65.3,11,64.6,10
"Okmulgee County, Oklahoma",32335.5,95.2,48,71.9,36
"Oneida County, New York",42117.5,79.9,245,53,164
"Onondaga County, New York",51461.0,78.2,432,52.4,289
"Orange County, California",98459.66666666667,44.1,1326,32.6,979
"Orange County, Florida",56122.0,57.6,588,42.1,424
"Orange County, New York",67782.25,67.8,248,46.5,167
"Orangeburg County, South Carolina",26057.5,63.3,71,48,54
"Osage County, Missouri",32435.0,59.6,10,41.5,7
"Osage County, Oklahoma",54211.0,55.9,36,56,36
"Osceola County, Iowa",43383.0,52.1,5,47.2,5
"Oswego County, New York",53720.0,92.6,126,65.9,88
"Otero County, New Mexico",45183.0,58.5,45,43.2,33
"Otsego County, New York",38784.0,66.5,55,52,43
"Ottawa County, Oklahoma",26730.0,80.2,34,74,32
"Ouachita County, Arkansas",18742.0,84,30,55.8,20
"Ouachita Parish, Louisiana",37926.5,78.3,126,62,99
"Outagamie County, Wisconsin",37492.0,54.8,99,39.6,72
"Oxford County, Maine",24729.0,85.6,70,60.9,50
"Ozark County, Missouri",40475.5,78.9,14,61.6,11
"Ozaukee County, Wisconsin",72937.2,49.4,55,32.5,37
"Pacific County, Washington",30912.0,62,24,55.9,22
"Page County, Virginia",39016.5,66.1,22,59.8,20
"Palm Beach County, Florida",51355.57142857143,54.1,1183,37.3,852
"Park County, Colorado",42948.0,35.8,8,25.5,4
"Park County, Wyoming",48904.0,36.3,15,34.2,14
"Parke County, Indiana",32345.0,75.1,17,64,14
"Parker County, Texas",120366.0,70.9,92,56.9,71
"Pasco County, Florida",38689.71428571428,75.9,552,57.3,422
"Pawnee County, Oklahoma",36531.0,77.7,18,58.3,13
"Pecos County, Texas",62160.0,40.7,6,39.5,6
"Pembina County, North Dakota",47256.0,65.2,8,56.7,7
"Pennington County, South Dakota",49409.0,66.1,78,46.9,55
"Penobscot County, Maine",43660.5,84.4,160,60.4,116
"Peoria County, Illinois",56848.5,84,180,60.1,129
"Pepin County, Wisconsin",46024.0,53.4,6,38.1,4
"Perquimans County, North Carolina",36721.0,68.9,15,48.2,10
"Perry County, Arkansas",38460.0,98.8,14,78.5,11
"Perry County, Illinois",46371.0,74.4,21,52.8,15
"Perry County, Mississippi",28580.0,81.6,12,58.6,8
"Perry County, Ohio",53389.0,78.5,33,63.3,26
"Perry County, Pennsylvania",48189.0,71.8,41,54.1,30
"Phillips County, Arkansas",19647.0,88.1,23,90.8,23
"Piatt County, Illinois",55490.0,79.8,18,53.1,12
"Pickaway County, Ohio",50023.5,77.5,49,64.6,41
"Pickens County, Alabama",24159.0,65.6,18,57.5,16
"Pickens County, South Carolina",31770.0,74,99,51.5,69
"Pierce County, Georgia",28320.0,80.1,18,70.5,16
"Pierce County, Washington",65475.6,76.1,590,51.6,396
"Pike County, Arkansas",35864.0,87.8,13,63.5,10
"Pike County, Georgia",32388.0,75.6,15,62.9,12
"Pike County, Illinois",29621.0,68.4,17,46,11
"Pike County, Kentucky",32799.666666666664,123,98,85.4,67
"Pike County, Missouri",39279.0,94.3,22,57,13
"Pike County, Ohio",23830.0,91.3,33,67.8,24
"Pike County, Pennsylvania",56712.5,64.5,52,41.2,32
"Pima County, Arizona",35989.6,50.9,628,37.3,464
"Pinal County, Arizona",53942.0,45.5,201,33.6,146
"Pinellas County, Florida",35321.0,68.9,1032,50.6,777
"Pittsburg County, Oklahoma",31334.666666666668,76.3,47,65.9,41
"Placer County, California",54222.333333333336,49.6,222,34.3,154
"Plaquemines Parish, Louisiana",32179.0,70.4,17,51.6,12
"Platte County, Nebraska",49466.333333333336,54.9,21,40.8,16
"Plumas County, California",39832.2,44.2,15,36.5,12
"Plymouth County, Massachusetts",88846.5,72.4,430,49.6,292
"Pocahontas County, Iowa",41489.5,52.4,6,35.5,5
"Pointe Coupee Parish, Louisiana",55130.0,53.5,17,44.1,13
"Polk County, Arkansas",19338.0,67.1,22,57.8,18
"Polk County, Florida",36185.75,74.4,631,50.1,423
"Polk County, Missouri",19046.0,66,26,54,21
"Polk County, North Carolina",44090.0,50.3,19,40.8,15
"Polk County, Oregon",20406.0,52.1,48,38.3,36
"Polk County, Tennessee",22040.0,116,28,103.3,25
"Polk County, Texas",54868.0,99.4,67,73.4,49
"Pope County, Arkansas",32904.0,86.3,59,72.5,49
"Portage County, Wisconsin",71671.0,54.3,42,38.6,30
"Porter County, Indiana",93554.0,73.6,133,52.9,95
"Posey County, Indiana",49349.0,60.3,19,41.3,13
"Pottawatomie County, Oklahoma",34669.5,85.4,70,60.9,49
"Pottawattamie County, Iowa",50497.0,84.6,94,61.5,68
"Preble County, Ohio",46331.0,72.2,39,57.7,31
"Preston County, West Virginia",46843.0,68.1,31,45.8,20
"Prince William County, Virginia",97066.0,48.4,133,40.9,107
"Pueblo County, Colorado",39127.5,49.8,99,36.8,74
"Pulaski County, Arkansas",20505.0,68,277,54.7,223
"Pulaski County, Illinois",19422.0,113.1,10,74.3,7
"Pulaski County, Missouri",52421.0,103.4,35,67.9,23
"Pulaski County, Virginia",57424.0,62.8,32,59.1,30
"Pushmataha County, Oklahoma",24399.0,65.2,11,81.6,14
"Putnam County, Indiana",63749.0,95.1,41,76.4,33
"Putnam County, New York",92752.0,69,77,45.2,49
"Putnam County, Ohio",41863.0,45.5,19,36.7,15
"Quitman County, Mississippi",22896.0,75.1,7,66.1,6
