County,Median_Income_x,Age-Adjusted Incidence Rate,Average Annual Count,Age-Adjusted Death Rate,Average Deaths per Year
"Bonner County, Idaho",31093.0,54.3,32,43.7,26
"Boone County, Illinois",53855.0,66.3,36,52.8,28
"Boone County, Indiana",72919.0,67,39,56.6,31
"Boone County, Kentucky",61650.0,86,90,60.1,63
"Boone County, Missouri",40025.666666666664,63.4,86,47.2,63
"Boone County, West Virginia",19441.0,111.8,34,81.5,25
"Bosque County, Texas",36059.0,58.4,17,59.2,18
"Bottineau County, North Dakota",49313.0,58.3,6,37.8,5
"Boulder County, Colorado",106980.0,35.5,94,24.3,65
"Bowie County, Texas",38408.0,80.2,88,58.7,63
"Box Butte County, Nebraska",49509.0,48.9,7,31.2,5
"Box Elder County, Utah",56671.0,20.4,10,17.6,8
"Boyle County, Kentucky",32484.0,77.6,29,56.9,21
"Bracken County, Kentucky",20699.0,120.6,12,92.7,9
"Bradford County, Pennsylvania",40443.5,70.7,63,50.2,45
"Bradley County, Arkansas",27965.0,86.3,13,68.3,11
"Braxton County, West Virginia",31213.0,72.4,16,61.4,13
"Brazoria County, Texas",45344.0,63,175,47.6,130
"Breathitt County, Kentucky",24985.0,105.7,18,73.2,13
"Brevard County, Florida",62335.0,74.2,647,55.4,487
"Bristol County, Massachusetts",73884.0,72.9,476,49.6,326
"Brookings County, South Dakota",43280.5,53.5,14,37.9,10
"Brooks County, Georgia",23461.0,76.9,16,51.1,11
"Broome County, New York",56170.5,61.7,160,42.1,111
"Broward County, Florida",42919.2,53.5,1129,38.7,827
"Brown County, Illinois",32625.0,81.4,6,46.6,3
"Brown County, Texas",35617.0,65.2,34,52.3,28
"Brown County, Wisconsin",60401.0,57.9,149,41.6,107
"Brule County, South Dakota",39270.0,83,6,53.7,4
"Brunswick County, North Carolina",42182.0,69.8,127,56.8,101
"Brunswick County, Virginia",45713.0,74.6,18,46.5,11
"Bryan County, Oklahoma",21538.0,87.9,48,74,41
"Buchanan County, Iowa",51884.0,82.8,21,56.2,15
"Buchanan County, Missouri",47593.0,86.8,88,65.1,67
"Bucks County, Pennsylvania",65846.5,62.5,487,43.9,340
"Buffalo County, Nebraska",56733.0,49.3,23,36,16
"Buffalo County, Wisconsin",45629.5,52.4,10,52.6,10
"Bureau County, Illinois",42599.0,69.6,34,50.4,25
"Burke County, North Carolina",41039.0,83.1,100,61,73
